ResponseId,qual_review,has_edu_email,qual_imagine
R_1JVpa7tFAoZU0Ms,A,1,"I worry about them influencing results, especially with these chatbots that act like humans."
R_1NfF685yu2hvkDO,A,1,"Bots are clearly a big problem for social psychology research but less of an issue for developmental work, which tends to be moderated."
R_2vche1U9i8IKvNu,A,1,"This is something that I was not familiar with before this survey, but now brought to my attention I find to be incredibly interesting and impactful. Bots have the ability to skew data by impersonating participants."
R_5ubowuzyjq4yqL7,A,1,bad
R_Q63a0tHtgQBwaxb,A,1,They skew data and make it inaccurate
R_uaW0Va2YXe6gNZn,A,1,I do not know what bots are
R_eFpkoVbTLMrLk77,A,1,NA
R_d6yFq02iHnJCqvn,A,1,NA
R_1JCOBTlgL7c16vy,A,1,"Not real results, false result"
R_1rP0ADedKuOq7WF,A,1,NA
R_3rP1PB9JlEVu3ep,A,1,"Although the robot is more convenient, but more will affect my judgment"
R_2V9qFD9uLr14VAT,A,1,"Although the robot is more convenient, but more will affect my judgment"
R_3NEsw8llsc8u5I8,A,1,"Although the robot is more convenient, but more will affect my judgment"
R_8kV80xtmgQNwmiZ,A,1,"Although the robot is more convenient, but more will affect my judgment"
R_Y6vtrzGiyn9nck1,A,1,"Although the robot is more convenient, but more will affect my judgment"
R_21FHxGn6dSK2rNl,A,1,"Although the robot is more convenient, but more will affect my judgment"
R_7TFajrpFp2PsQbT,A,1,There are good days and bad days
R_2zzNGRPzKIVWKyE,A,1,There are good days and bad days
R_27KEcrNLQJGYn5q,A,1,There are good days and bad days
R_2y3eEF3UqAyU5k8,A,1,It’s hard to tell if one has encountered a bot.
R_27wBcLp140fogVH,A,1,NA
R_1hS8vhPwcHaaY1d,A,1,"Gives belief, emotion and personality characteristics to the machine, in order to realize ""man-machine fit"", this machine will gain as much benefits with people."
R_2xP3B52tAF0WvJo,A,1,"The concept of man-machine fit is because of emotion· element into the machine, make its have instinct level, behavior level and even the processing mechanism of reflection layer."
R_3MG6QeVTp861Ek6,A,1,"Machines will become more and more intelligent, more and more intelligent.When people make have enough wisdom to machineDesign more complex machine, so have a docDay, the machine may have high intelligence."
R_2Yu2FBrfhstKhiZ,A,1,"Due to the engineer's efforts, has been achieved between machines and interaction.But the machine can hardly study. When they fail or experience success can adjust themselves, but their ability of inductive I C so very much. With people's ability to pay the very tone."
R_3pgN7Z3h5y1PgeA,A,1,Have little impact
R_299ZbnTOugtkLzZ,A,1,Have some help.
R_2z85hcTQJn88xlP,A,1,"Essentially, bots negatively impact psychological research, and may cause issues with results and future directions."
R_2VDSMdOAl4DADEp,A,1,"Identification, auxiliary diagnosis, early warning and intervention of depression"
R_2aFC5AwUQdVfO9M,A,1,NA
R_3kv2PJaKrN9LfMr,A,1,NA
R_yPfRqnOTqsoZCEx,A,1,NA
R_SVtLEtfP43XxW7v,A,1,NA
R_1CxY3VvfAL2C5AG,A,1,NA
R_2YmMolBEzEb61Ba,A,1,Robots interfere with normal psychological research
R_3COCWiaoVUZlcGB,A,1,I think its important to identify them otherwise it can impact the reliability of our results
R_3LbVhWHrRVqAa2J,A,1,They may bias the outcome but they are easy to detect and remove from the data - I typically look at the duration respondets took for the entire survey
R_e8RRfoqn3kenbLb,A,1,NA
R_YS7JoonlLTlHunv,A,1,Significant impact. In negative aspect.
R_xEgzeJczRph5ovn,A,1,Not sure
R_OGSVmTPXMXkM4aB,A,1,This would bog down research
R_3IaiQNT2tdpcXyH,A,1,NA
R_2wdGA1MQqIahFq2,A,1,Research would be meaningless
R_1odRGfSQ7zCBRls,A,1,This is going to get really bad
R_31bKcEVIMcIgTjm,A,1,This is a bad thing
R_1r8LV5AfYfaT4GB,A,1,This will change the authenticity of the research
R_2xKRS3WNzo1eQD1,A,1,The study may be meaningless
R_3lFi0xTYiJceEOT,A,1,The research will be difficult to complete
R_1MQgqrIZuWxtiMp,A,1,They can interfere with results!
R_qD7hzv0E2N9jWWR,A,1,NA
R_2PjmKorNfJafDio,A,1,"Мисля, че изкривяват научните данни."
R_1pWL6I8gaATAfy0,A,1,NA
R_W1ffVWaUulX2ACZ,A,1,NA
R_1DMWZVN0Hqe1IAV,A,1,人工智能可以在心理学的一个子领域：心理健康领域发挥较大的作用。
R_2D6mzaLS762iId7,A,1,Hinders
R_vcRN9PJbAShytSV,A,1,Biased research results
R_VWNj4P3YVTW1wkN,A,1,I believe they are a problem for poorly-designed studies. Good design largely eliminates the problem.
R_2P6Cda1GZU0MISY,A,1,NA
R_3DdY8u0BOX4HxW2,A,1,"It's incredible, but it should be possible."
R_1nSHBJPAFOVhx56,A,1,"I'm not sure how common they are. I suspect I ran into a handful at most in my graduate work but in general I think they're overhyped. And there are plenty of mechanisms to filter out bots, such as the CAPTCHA you used at the start of this survey."
R_NWQPVgxQMrtgUQp,A,1,NA
R_3mayIRxPujK8u27,A,1,NA
R_114OzRc7FfHbW2b,A,1,"never thought of this before - might be a danger in ""automatic"" recruitment but less in traditional ones I guess"
R_ZEv3FJ5HoYaxVND,A,1,affect results of research- inaccurate to findings from humans
R_0vlRORfGozySDQZ,A,1,NA
R_8rd6N3m2cPfzOKt,A,1,Could be a problem
R_A4K9DD3sCsGij0B,A,1,Frustrating to know how to detect. Makes me question my study results at times which is frustrating since I know I’ve designed it well.
